"feature_id"	"feature"	"VIP"	"LV1"	"LV2"
2206	"PA(P-20:0/17:0)_[2206_720.59_7.4]"	1.10136741295031	-0.0567682112113407	-0.0202448789163644
3061	"NA_[3061_632.63_9.6]"	1.10111925186264	-0.0460770704405693	0.0448090940330642
1841	"NA_[1841_816.62_6.6]"	1.09889419560132	-0.0633712358576838	0.037376832982053
2209	"1-octadecyl-2-[(4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl]-sn-glycero-3-phosphocholine_[2209_820.62_7.5]"	1.09583958361748	-0.063261611489566	-0.0110382196443972
2138	"NA_[2138_809.59_7.3]"	1.09470141020953	-0.060642008614028	-0.00285045636259157
833	"NA_[833_428.41_3.2]"	1.09428365411813	-0.0556563914271568	0.00959680298200506
1856	"NA_[1856_692.56_6.6]"	1.09294892935905	-0.0535867701702208	0.0416396282940926
723	"NA_[723_989.61_2.8]"	1.09220932937232	-0.0574305245456761	-0.0556267030385224
2145	"1-(1Z-hexadecenyl)-2-hexadecanoyl-sn-glycero-3-phosphocholine_[2145_718.58_7.3]"	1.09040010224615	-0.0510321436536071	-0.0709795378449399
1797	"NA_[1797_790.61_6.4]"	1.08890538412105	-0.0525030043098701	0.0584191189717513
1643	"N-tetradecanoylsphinganine_[1643_534.49_6.1]"	1.08750815036716	-0.0463237281495361	-0.0774755848596901
1932	"NA_[1932_784.59_6.8]"	1.08523122945801	-0.0533841381538275	0.0528962298234732
1749	"NA_[1749_806.57_6.4]"	1.08402595898183	-0.0577057003638419	0.0378962191620689
1335	"NA_[1335_701.56_4.9]"	1.08350534596325	-0.0407703596595743	0.072746194118929
2222	"NA_[2222_778.58_7.5]"	1.08098940212558	-0.0583434608043467	-0.00976453569517721
1147	"NA_[1147_456.44_4.2]"	1.08003601568518	-0.0549351143118099	0.00544828442781985
2079	"PE(20:0/18:4(6Z,9Z,12Z,15Z))_[2079_768.55_7.2]"	1.07757251327132	-0.0463793021975926	0.0542053765513937
2164	"NA_[2164_702.54_7.4]"	1.07618796036636	-0.0560392402982569	0.0350304337301046
258	"(9E)-9-nitrooctadecenoic acid_[258_350.23_1.1]"	1.07594368475475	-0.0520943227685533	-0.0680008347297416
76	"NA_[76_248.13_0.6]"	1.0758238218396	-0.0518909126611534	-0.0520641722855063
1635	"NA_[1635_806.71_6.1]"	1.07576348854147	-0.0496615587277225	-0.0709692191785703
2046	"NA_[2046_706.57_7]"	1.07307435013678	-0.0546538425712208	0.0414757003583024
1621	"NA_[1621_887.56_6.1]"	1.0719770450458	-0.0390649354624208	0.0423423415777269
