formulaRank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScoreNormalized	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	C30H65FN5O2	[M + H3N + H]+	C30H69FN6O2+	0.591	0.327	45.559	45.212	0.347	11	0.404	3.963	4.720	1.408		564.547	411	6.845	847477533811943845	847477259902903104	847477259898708799	1125	
1	C39H80N2O3	[M - H2O + H]+	C39H79N2O2+	0.412	0.333	50.106	50.106	0.000	20	0.349	0.545	0.545	-29640.827		607.614	411	6.850	847477532444600683	847477259730936620	847477259730936619	1120	
1	C27H50O	[M + H3N + H]+	C27H54NO+	1.000	0.333	108.791	105.541	3.250	19	0.684	5.163	5.163	0.143		408.420	411	6.850	847477533996493231	847477259965817672	847477259965817671	1127	
1	C47H86NO6P	[M + H]+	C47H87NO6P+	1.000	1.000	41.842	34.025	7.817	14	0.768	4.397	4.397	-3.876		792.623	411	6.851	847477535632271941	847477260070675284	847477260070675283	1130	
1	C36H78N4O13	[M - H2O + H]+	C36H77N4O12+	0.236	0.229	83.104	83.104	0.000	25	0.475	4.932	4.932	-23772.179		757.555	411	6.851	847477543861497035	847477260037120848	847477260037120847	1129	
1	C36H73N3O3	[M - H2O + H]+	C36H72N3O2+	1.000	0.333	16.024	7.778	8.246	2	0.901	6.770	6.770	-31129.019		578.562	411	6.851	847477543957966052	847477260108424024	847477260108424023	1131	
1	C40H80NO8P	[M + Na]+	C40H80NNaO8P+	1.000	1.000	67.791	61.878	5.912	26	0.806	4.357	4.357	0.336	PC(16:0_16:0)	756.552	411	6.851	847477548160658985	847477259999372108	847477259999372107	1128	
1	C46H86NO7P	[M + Na]+	C46H86NNaO7P+	1.000	1.000	29.507	23.252	6.254	6	0.868	5.096	5.096	3.028	PC(O-18:1_20:3)	818.606	411	6.856	847477544931044618	847477260209087332	847477260209087331	1134	
1	C44H82NO7P	[M + H]+	C44H83NO7P+	1.000	1.000	44.057	34.861	9.195	8	0.932	3.982	3.982	-2.026	PC 36:4	768.589	411	6.856	847477548915633757	847477260175532896	847477260175532895	1133	
1	C7H15NO2	[M + K]+	C7H15KNO2+	0.999	0.233	10.007	10.007	0.000	3	0.071	0.236	1.729	-0.309		184.073	411	6.856	847477589508110202	847477260137784156	847477260137784155	1132	
1	C40H80NO8P	[M + H]+	C40H81NO8P+	1.000	1.000	51.690	41.621	10.069	7	0.946	4.484	4.484	1.128		734.570	412	6.859	847477536328526430	847477260242641768	847477260242641767	1135	
1	C34H65NO2	[M + Na]+	C34H65NNaO2+	0.454	0.487	5.577	1.920	3.656	0	0.000	0.960	0.960	0.957		542.491	412	6.861	847477544092183790	847477260280390508	847477260280390507	1136	
1	C36H64O3	[M + H3N + H]+	C36H68NO3+	0.901	0.333	135.073	128.325	6.748	49	0.820	2.406	2.441	0.531		562.520	412	6.868	847477536907340477	847477260313944944	847477260313944943	1137	
1	C37H75N3O5	[M - H2O + H]+	C37H74N3O4+	0.925	0.333	94.098	94.098	0.000	35	0.712	0.470	0.499	-28836.014		624.568	412	6.869	847477540132760390	847477260376859512	847477260376859511	1139	
1	C38H75N3O4	[M + H]+	C38H76N3O4+	0.631	0.321	9.465	3.266	6.200	1	0.971	12.569	12.569	0.416		638.583	412	6.872	847477541386857435	847477260414608252	847477260414608251	1140	
1	C43H82NO8P	[M + H]+	C43H83NO8P+	1.000	1.000	42.503	36.092	6.411	15	0.803	3.612	3.612	0.114		772.585	412	6.872	847477545715379538	847477260448162688	847477260448162687	1141	
1	C36H69NO4	[M + Na]+	C36H69NNaO4+	0.542	0.751	8.833	1.973	6.860	0	0.000	0.340	0.340	0.846		602.512	412	6.873	847477537146415812	847477260347499380	847477260347499379	1138	
1	C24H46O	[M + H3N + H]+	C24H50NO+	0.996	0.333	66.143	62.566	3.577	13	0.399	4.954	4.954	0.104		368.389	413	6.889	847477533124077966	847477260481717124	847477260481717123	1142	
1	C43H76NO7P	[M + Na]+	C43H76NNaO7P+	1.000	1.000	70.693	63.609	7.084	33	0.892	3.462	3.462	0.296	PC(17:1_O-18:5)	772.525	416	6.934	847477540183092047	847477260645295000	847477260645294999	1147	
1	C36H69N3O2	[M + H]+	C36H70N3O2+	1.000	0.333	12.606	12.606	0.000	6	0.452	8.296	8.296	1.102		576.547	416	6.934	847477550798876448	847477260544631692	847477260544631691	1144	
1	C44H80FN5O8	[M - H2O + H]+	C44H79FN5O7+	0.490	0.317	62.565	62.565	0.000	25	0.669	0.363	0.841	-22278.442		808.592	416	6.935	847477734312265416	847477260578186128	847477260578186127	1145	
1	C43H78NO8P	[M - H2O + H]+	C43H77NO7P+	1.000	0.333	166.632	157.514	9.118	53	0.965	1.194	1.194	-23996.360		750.543	416	6.937	847477560802292074	847477260611740564	847477260611740563	1146	
